id,title_original,title_original_lang,title_en,title_ja,year_made,content_type,country_origin
203,Hotel Colonial,en,,,1987,Film,
204,Howards End,en,,,1992,Film,
205,Hudson Hawk,en,,,1991,Film,
206,Husbands and Wives,en,,,1992,Film,
207,I'll Do Anything,en,,,1994,Film,
208,If Looks Could Kill,en,,,1991,Film,
209,In the Line of Fire,en,,,1993,Film,
210,Indecent Proposal,en,,,1993,Film,
211,Indiana Jones and the Last Crusade,en,,,1989,Film,
212,Indiana Jones and the Temple of Doom,en,,,1984,Film,
213,Innerspace,en,,,1987,Film,
214,Internal Affairs,en,,,1990,Film,
215,Jagged Edge,en,,,1985,Film,
216,Jason and the Argonauts,en,,,1963,Film,
217,Jennifer 8,en,,,1992,Film,
218,JFK,en,,,1991,Film,
219,Jimmy Hollywood,en,,,1994,Film,
220,Joe Versus the Volcano,en,,,1990,Film,
221,Johnny Mnemonic,en,,,1995,Film,
222,Journey Into Fear,en,,,1975,Film,
223,King Kong,en,,,1933,Film,
224,Kiss of the Spider-Woman,en,,,1985,Film,
225,Kramer vs. Kramer,en,,,1979,Film,
226,L.A. Story,en,,,1991,Film,
227,La Bamba,en,,,1987,Film,
228,Labyrinth,en,,,1986,Film,
229,Ladybugs,en,,,1992,Film,
230,Last Action Hero,en,,,1993,Film,
231,Last Year at Marienbad,en,,,1961,Film,
232,Lean on Me,en,,,1989,Film,
233,Leap of Faith,en,,,1992,Film,
234,Legends of the Fall,en,,,1994,Film,
235,Let It Ride,en,,,1989,Film,
236,Lethal Weapon,en,,,1987,Film,
237,Lethal Weapon 2,en,,,1989,Film,
238,Lethal Weapon 3,en,,,1992,Film,
239,Little Sweetheart,en,,,1989,Film,
240,Little Women,en,,,1994,Film,
241,Little Women,en,,,1933,Film,
242,Look Who's Talking Now!,en,,,1993,Film,
243,Look Who's Talking Too,en,,,1990,Film,
244,Lord of the Flies,en,,,1990,Film,
245,Lost in Yonkers,en,,,1993,Film,
246,Love at Stake,en,,,1987,Film,
247,Mad Max Beyond Thunderdome,en,,,1985,Film,
248,Major League,en,,,1989,Film,
249,Malcolm X,en,,,1992,Film,
